bng_x,bng_y,class,conf,votes,status,nearest_dist_m
223177.896894879,584497.9284958942,roundhouse,0.25985886752605436,5,novel,10473.6
223513.75668534852,584346.4473942356,smallcairn,0.2627711296081543,6,novel,9204.9
221088.1962102065,583750.9400025889,smallcairn,0.1868050754070282,5,novel,8378.0
220379.1526491687,583634.9172698088,smallcairn,0.44639308502276737,6,novel,8290.7
222316.19480056228,583461.4616275142,shieling,0.24294595122337342,5,novel,8892.8
222518.32910945057,583029.2921776053,shieling,0.2650218039751053,5,novel,8421.5
223550.53540646122,582975.614126121,roundhouse,0.2635747541983922,6,novel,8906.5
223645.38193602054,583076.8051086467,roundhouse,0.3691768859113966,7,novel,8984.8
223134.95821512348,582894.6947230588,shieling,0.47005800157785416,6,novel,8142.9
223207.33514280495,582863.8624833156,shieling,0.29493139684200287,7,novel,8098.0
223607.78976674794,582765.9004833847,shieling,0.24932542741298674,5,novel,7931.3
222523.51602784375,582068.9453817806,shieling,0.3911816209554672,5,novel,7500.6
223331.49427909445,581844.2225455032,smallcairn,0.30971739292144773,5,novel,6855.3
