CANMOREID,NMRSNAME,SITETYPE,COUNTY,GRIDREF,XCOORD,YCOORD,URL,det_class
22360,"ARDNAMURCHAN, CLADH AINDREIS","CHAMBERED CAIRN (NEOLITHIC), CREMATION (PERIOD UNASSIGNED), INHUMATION (PERIOD UNASSIGNED), KERB CAIRN (PREHISTORIC), BEAD(S) (JET)(BRONZE AGE)",ARGYLL,NM 5470 7076,154700.0,770760.0,https://canmore.org.uk/site/22360/,cairn
22368,"SCARBA, PORT NAN URRACHANN",SHIELING HUT(S) (POST MEDIEVAL),ARGYLL,NM 680 046,168000.0,704600.0,https://canmore.org.uk/site/22368/,shieling
22958,LAGGANBEG,CAIRN (LATER PREHISTORIC),ARGYLL,NM 86465 20462,186465.0,720462.0,https://canmore.org.uk/site/22958/,cairn
22959,SHELACHAN,CAIRN (LATER PREHISTORIC)(POSSIBLE),ARGYLL,NM 87311 20599,187311.0,720599.0,https://canmore.org.uk/site/22959/,cairn
22960,SHELACHAN,"CAIRN (LATER PREHISTORIC)(POSSIBLE), CLEARANCE CAIRN (POST MEDIEVAL)(POSSIBLE)",ARGYLL,NM 86811 20557,186811.0,720557.0,https://canmore.org.uk/site/22960/,cairn
22967,"CARN AILPEIN, LOCH FEOCHAN","CAIRN (PERIOD UNASSIGNED)(POSSIBLE), CRANNOG (PERIOD UNASSIGNED)(POSSIBLE)",ARGYLL,NM 8322 2255,183220.0,722550.0,https://canmore.org.uk/site/22967/,cairn
22968,LERAGS,KERB CAIRN (BRONZE AGE),ARGYLL,NM 84126 24825,184126.0,724825.0,https://canmore.org.uk/site/22968/,cairn
22971,BAROCHREAL,BURIAL CAIRN (BRONZE AGE),ARGYLL,NM 83358 20676,183358.0,720676.0,https://canmore.org.uk/site/22971/,cairn
22973,DUNAN BUIAIG,BURIAL CAIRN (LATER PREHISTORIC),ARGYLL,NM 82326 22007,182326.0,722007.0,https://canmore.org.uk/site/22973/,cairn
22620,"LUING, SGEIR CARNAICH","CAIRN (PREHISTORIC)(POSSIBLE), CRANNOG (PREHISTORIC) - (MEDIEVAL)(POSSIBLE)",ARGYLL,NM 75151 12937,175151.0,712937.0,https://canmore.org.uk/site/22620/,cairn
22985,MINARD,SHIELING HUT(S) (POST MEDIEVAL)(POSSIBLE),ARGYLL,NM 828 244,182800.0,724400.0,https://canmore.org.uk/site/22985/,shieling
22986,LERAGS,SHIELING HUT(S) (POST MEDIEVAL)(POSSIBLE),ARGYLL,NM 833 249,183300.0,724900.0,https://canmore.org.uk/site/22986/,shieling
22500,"ARDNAMURCHAN, SALEN",CAIRN (PERIOD UNASSIGNED),ARGYLL,NM 6893 6491,168930.0,764910.0,https://canmore.org.uk/site/22500/,cairn
22501,"ARDNAMURCHAN, SALEN",CAIRN (PERIOD UNASSIGNED)(POSSIBLE),ARGYLL,NM 687 643,168700.0,764300.0,https://canmore.org.uk/site/22501/,cairn
22378,"GARVELLACHS, A' CHULI",SHIELING HUT(S) (POST MEDIEVAL)(POSSIBLE),ARGYLL,NM 65776 11329,165776.0,711329.0,https://canmore.org.uk/site/22378/,shieling
22379,"SEANBHAILE, MULL",CAIRN (PERIOD UNASSIGNED),ARGYLL,NM 6841 2882,168410.0,728820.0,https://canmore.org.uk/site/22379/,cairn
22388,"MULL, LOCHBUIE",KERB CAIRN (PREHISTORIC),ARGYLL,NM 6155 2525,161550.0,725250.0,https://canmore.org.uk/site/22388/,cairn
22390,"MULL, CLUAS LAGAIN",CLEARANCE CAIRN (POST MEDIEVAL),ARGYLL,NM 6466 2516,164660.0,725160.0,https://canmore.org.uk/site/22390/,cairn
22400,"MULL, LAGGAN LODGE",CAIRN (PERIOD UNASSIGNED),ARGYLL,NM 6254 2337,162540.0,723370.0,https://canmore.org.uk/site/22400/,cairn
23001,"LISMORE, BALYGRUNDLE SOUTH",BURIAL CAIRN (BRONZE AGE),ARGYLL,NM 84019 39587,184019.0,739587.0,https://canmore.org.uk/site/23001/,cairn
23002,"LISMORE, AON GARBH",BURIAL CAIRN(S) (BRONZE AGE),ARGYLL,NM 8021 3751,180210.0,737510.0,https://canmore.org.uk/site/23002/,cairn
23004,"LISMORE, BARR MOR",BURIAL CAIRN (BRONZE AGE),ARGYLL,NM 81498 38869,181498.0,738869.0,https://canmore.org.uk/site/23004/,cairn
23006,"LISMORE, BALYGRUNDLE SOUTH 2",BURIAL CAIRN (BRONZE AGE),ARGYLL,NM 83659 39468,183659.0,739468.0,https://canmore.org.uk/site/23006/,cairn
